Time,Kinetic_Energy,Vacuum_Energy,Total_Energy,Max_Velocity,Step
0.0,49862.16093817866,0.14004800006676058,49862.30098617873,1.7033271188130807,0
10.0,49726.20817785214,0.13979337594656904,49726.34797122808,1.6926141568337634,1000
20.0,49588.29976653757,0.13761859773138385,49588.4373851353,1.692644121598169,2000
30.0,49452.77362925404,0.13897384473730756,49452.91260309878,1.686696656224278,3000
40.0,49318.5926348602,0.13991495408802732,49318.73254981429,1.6886541634327599,4000
50.0,49182.13173297266,0.13988273055954623,49182.27161570322,1.6866062878515264,5000
60.0,49047.039039662784,0.13859323106642438,49047.17763289385,1.6832231874211445,6000
70.0,48914.09833843893,0.13926653124079993,48914.23760497017,1.6783392852130838,7000
80.0,48778.12715143519,0.13804270841857255,48778.265194143605,1.6744276730151346,8000
90.0,48651.02817138606,0.1399957504298884,48651.16816713649,1.6653082760902094,9000
100.0,48516.56532336437,0.13950641078529666,48516.70482977515,1.6662084147240386,10000
110.0,48380.36501749725,0.1373186411213101,48380.50233613837,1.6665140470795374,11000
120.0,48252.93505191976,0.14084745172870872,48253.07589937149,1.6617967083447924,12000
130.0,48122.92712392092,0.14116301081317476,48123.06828693173,1.664139565609472,13000
140.0,47988.237333464065,0.13814671638142154,47988.375480180446,1.6589254091459684,14000
150.0,47860.938298798865,0.1383647850919386,47861.07666358395,1.6509981777428406,15000
160.0,47733.23716835969,0.1390549927533258,47733.37622335244,1.643642581283257,16000
170.0,47602.53680622583,0.1388073936001976,47602.67561361943,1.6497727640618316,17000
180.0,47477.45574462094,0.1399654965482155,47477.595710117486,1.6457093654656747,18000
190.0,47348.49499386625,0.13895643101431226,47348.63395029726,1.6352921216414888,19000
200.0,47225.17327592015,0.13961189311103592,47225.312887813256,1.6245336129292547,20000
210.0,47099.380367129146,0.1386573077047023,47099.51902443685,1.6218864193356601,21000
220.0,46973.35462221565,0.1397829555938677,46973.494405171245,1.6183444147032695,22000
230.0,46847.25683084278,0.13965018402177398,46847.3964810268,1.6153588564316188,23000
240.0,46721.09906573601,0.13906819881133917,46721.23813393482,1.6107310877127103,24000
250.0,46595.425774028765,0.13906981276034105,46595.56484384152,1.6049849055789323,25000
260.0,46470.86056542494,0.13875135785618875,46470.9993167828,1.6025127270885007,26000
270.0,46346.426020195315,0.13941125042356792,46346.565431445735,1.5967600221999172,27000
280.0,46221.17265850725,0.1393727921628263,46221.31203129941,1.5920000913337187,28000
290.0,46100.93199076253,0.1389064904079213,46101.07089725294,1.5906009001366492,29000
300.0,45979.00108856219,0.1392642060751676,45979.14035276826,1.5883038484433265,30000
310.0,45857.94836652782,0.13983803678056383,45858.0882045646,1.5897853900720003,31000
320.0,45732.54719622979,0.13782627247198304,45732.68502250226,1.5933852077267232,32000
330.0,45610.796353312195,0.1391247429350863,45610.93547805513,1.5964671762535414,33000
340.0,45487.8605658735,0.13888431559349296,45487.9994501891,1.5886326041901488,34000
350.0,45368.87952933028,0.13963118319373627,45369.019160513475,1.581886439523759,35000
360.0,45250.672946190105,0.13876814028745588,45250.81171433039,1.5743848084787582,36000
370.0,45135.20708144747,0.14009480533942778,45135.34717625281,1.5732509051844477,37000
380.0,45013.06110355064,0.13756955222251985,45013.19867310286,1.5664187246661916,38000
390.0,44896.15648101093,0.13940705352461774,44896.29588806445,1.5671880803807292,39000
400.0,44777.61479347747,0.13873829448450517,44777.75353177195,1.5663913358171644,40000
410.0,44658.23452327076,0.13856863668440356,44658.373091907444,1.5632439084607506,41000
420.0,44541.02105378422,0.1384681101648919,44541.159521894384,1.5581066630758091,42000
430.0,44427.90000743612,0.13919802400930073,44428.039205460125,1.5574042826656964,43000
440.0,44312.90560482304,0.13887676397826118,44313.04448158702,1.5546066514142967,44000
450.0,44199.3278520233,0.13912773877908693,44199.46697976208,1.5542245066130926,45000
460.0,44083.902331141086,0.13925312715753346,44084.04158426824,1.5551168860756712,46000
470.0,43972.94121368136,0.14079059899354074,43973.08200428035,1.559551163210063,47000
480.0,43857.953195695096,0.13877842525762552,43858.091974120354,1.5555274848768095,48000
490.0,43741.34696863331,0.13890589974409867,43741.48587453306,1.5567631434905882,49000
